,clust,Award?,ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
0,0,0,1,28143,0,1,1,1,174,1,0,0,7000
1,0,0,2,19244,0,1,1,1,215,2,0,0,6968
2,0,0,3,41354,0,1,1,1,4123,4,0,0,7034
3,0,0,4,14776,0,1,1,1,500,1,0,0,6952
4,1,1,5,97752,0,4,1,1,43300,26,2077,4,6935
5,0,0,6,16420,0,1,1,1,0,0,0,0,6942
6,2,0,7,84914,0,3,1,1,27482,25,0,0,6994
7,3,1,8,20856,0,1,1,1,5250,4,250,1,6938
8,1,1,9,443003,0,3,2,1,1753,43,3850,12,6948
9,1,1,10,104860,0,3,1,1,28426,28,1150,3,6931
10,0,0,11,40091,0,2,1,1,7278,10,0,0,6959
11,1,1,12,96522,0,5,1,1,61105,19,0,0,6924
12,0,0,13,43382,0,2,1,1,11150,20,0,0,6924
13,0,0,14,43097,0,1,1,1,3258,6,0,0,6918
14,0,0,15,17648,0,1,1,1,0,0,0,0,6912
15,1,1,16,28495,0,4,1,1,49442,15,0,0,6912
16,1,1,17,51890,0,4,1,1,48963,16,0,0,6910
17,3,1,18,13958,0,1,1,1,4291,5,0,0,6905
18,1,1,19,91473,0,3,1,1,27408,17,0,0,6903
19,1,1,20,23354,0,3,1,1,10447,5,0,0,6896
20,1,1,21,120576,0,5,1,1,58831,23,250,2,6896
21,3,1,22,185681,2024,1,1,1,13300,16,1800,9,6896
22,0,0,23,20584,0,1,1,1,3450,11,3450,11,6884
23,0,0,24,66275,0,1,1,1,2533,11,150,1,6884
24,0,0,25,205651,500,1,1,1,4025,21,700,4,7932
25,0,0,26,20726,0,1,1,1,1375,4,0,0,7924
26,0,0,27,18521,0,1,1,1,1227,2,1227,2,7917
27,0,0,28,8828,0,1,1,1,0,0,0,0,7914
28,1,1,29,59763,0,3,1,1,33772,20,100,1,7907
29,3,1,30,19221,0,1,1,1,4655,8,500,1,7896
30,2,0,31,177926,0,3,1,1,20797,13,0,0,7886
31,0,0,32,10021,0,1,1,1,0,0,0,0,7879
32,2,0,33,276571,0,4,1,1,42044,23,0,0,7872
33,0,0,34,18047,0,1,1,1,100,1,0,0,7868
34,0,0,35,43832,0,1,1,1,0,0,0,0,7865
35,1,1,36,123759,0,4,1,1,50572,23,2500,5,7865
36,3,1,37,23193,0,1,1,1,650,4,550,3,7861
37,0,0,38,68666,0,1,1,1,350,2,350,2,7861
38,1,1,39,59990,0,3,1,1,27878,17,0,0,7854
39,3,1,40,2176,0,1,1,1,0,0,0,0,7847
40,0,0,41,34616,0,1,1,1,1750,4,500,1,7850
41,1,1,42,10470,0,4,1,1,38094,26,0,0,7840
42,3,1,43,60313,0,1,1,1,10000,26,3250,9,7829
43,1,1,44,619393,0,3,1,1,15008,14,0,0,7819
44,2,0,45,121260,0,3,1,1,18493,18,0,0,7808
45,3,1,46,288865,967,1,1,1,23600,14,2000,4,6884
46,0,0,47,92336,0,2,1,1,11214,6,0,0,6884
47,3,1,48,36924,0,1,1,1,5900,6,300,2,6879
48,1,1,49,70312,0,3,1,1,34678,24,500,1,6875
49,0,0,50,17051,0,1,1,1,1150,4,1150,4,6868
50,0,0,51,108137,0,1,1,1,6368,5,6368,5,6844
51,0,0,52,1300,0,1,1,1,370,1,0,0,6868
52,1,1,53,118531,0,4,1,1,44577,38,0,0,6868
53,3,1,54,121395,0,1,1,1,4970,8,650,2,6889
54,0,0,55,38348,0,1,1,1,0,0,0,0,6861
55,0,0,56,14448,0,1,1,1,1625,6,0,0,6856
56,2,0,57,75971,0,4,1,1,34339,14,0,0,6869
57,3,1,58,36298,0,1,1,1,3100,5,600,3,6865
58,2,0,59,38077,0,3,1,1,34024,8,0,0,6837
59,1,1,60,95118,0,3,1,1,23188,23,2200,7,6865
60,2,0,61,134457,0,3,1,1,15588,14,0,0,6861
61,0,0,62,19918,0,1,1,1,17601,11,0,0,6863
62,0,0,63,10120,0,1,1,1,0,0,0,0,6864
63,0,0,64,362642,0,1,1,1,28079,8,0,0,6835
64,0,0,65,80250,0,1,1,1,895,2,0,0,6833
65,1,1,66,53914,0,3,1,1,33767,45,5550,29,6826
66,0,0,67,9375,0,1,1,1,1750,7,0,0,6826
67,2,0,68,83237,0,4,1,1,35287,18,0,0,6837
68,1,1,69,230715,0,3,1,1,24047,12,0,0,6826
69,1,1,71,47457,0,3,1,1,12621,16,0,0,7766
70,2,0,72,84409,5031,2,1,1,15436,16,1150,4,7766
71,2,0,73,252386,0,4,1,1,39787,13,0,0,7787
72,2,0,74,550367,0,3,1,1,12500,13,50,1,7801
73,0,0,75,12646,0,1,1,1,631,4,631,4,7787
74,2,0,76,123867,0,3,1,1,25308,17,0,0,7759
75,2,0,78,129871,0,3,1,1,15776,22,0,0,7752
76,0,0,79,109380,0,1,1,1,7537,16,0,0,7749
77,2,0,80,111157,0,4,1,1,32883,19,0,0,7771
78,1,1,81,49238,0,4,1,1,38037,18,0,0,7801
79,1,1,82,38896,0,5,1,1,76988,16,556,1,7771
80,3,1,83,4340,0,1,1,1,32685,5,0,0,7733
81,0,0,84,88443,0,1,1,1,1200,3,1200,3,6837
82,0,0,85,8454,0,1,1,1,498,9,0,0,6821
83,0,0,86,61990,0,1,1,1,1625,6,0,0,6833
84,0,0,87,24093,0,1,1,1,1750,7,0,0,6819
85,1,1,88,35418,0,5,1,1,58557,18,900,3,6813
86,3,1,89,40284,0,1,1,1,7719,5,0,0,6827
87,2,0,90,609477,0,3,1,1,21422,22,1200,8,6820
