,clust,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
0,2,600,4,2763.519279,0,0,0,40,1,0,56274,1,1,69,32,5,0,1,0,2,0,0,384.811147,5,1
1,0,5946,0,6979.535903,0,1,0,20,4,0,0,1,2,94,13,42,0,8,1,5,2,0,1131.464935,0,1
2,2,96,2,12887.43165,0,2,0,34,1,0,48767,1,1,108,18,38,0,2,1,5,0,0,566.472247,5,1
3,0,8016,1,7645.861827,0,0,0,9,4,1,0,1,1,106,18,65,0,7,0,1,0,2,529.881344,3,1
4,1,2488,4,2813.692575,0,0,0,46,1,1,43836,0,2,73,12,44,0,1,1,3,0,0,138.130879,0,1
5,2,4947,3,8256.2978,1,0,0,14,1,0,62902,0,1,69,14,94,0,2,1,5,1,3,159.383042,5,1
6,2,8433,3,5380.898636,1,0,1,40,1,0,55350,1,1,67,0,13,0,9,0,2,0,0,321.6,0,1
7,0,755,0,7216.100311,0,2,4,6,4,1,0,2,2,101,0,68,0,4,0,2,0,0,363.02968,0,1
8,1,1351,3,24127.50402,1,0,0,15,2,1,14072,1,0,71,13,3,0,2,0,2,0,0,511.2,0,1
9,2,547,3,7388.178085,0,1,1,32,1,0,28812,2,1,93,17,7,0,8,2,7,1,1,425.527834,0,1
10,0,6613,1,4738.992022,0,0,1,37,4,1,0,1,2,67,23,5,0,3,1,5,0,0,482.4,0,2
11,0,7576,1,8197.197078,0,0,1,51,4,0,0,1,1,110,27,87,0,3,1,5,1,0,528.0,3,1
12,1,1226,1,8798.797003,0,2,4,52,1,1,77026,2,1,110,9,82,2,3,0,0,1,0,472.029737,0,1
13,1,6434,0,8819.018934,1,0,3,21,1,1,99845,1,1,110,23,25,1,8,0,2,1,1,528.0,3,1
14,1,2965,1,5384.431665,0,0,1,6,1,1,83689,2,2,70,21,10,2,8,0,2,3,2,307.139132,0,1
15,2,626,3,7463.139377,0,0,0,5,1,0,24599,0,1,64,12,50,1,2,0,1,1,1,42.920271,0,1
16,1,2055,2,2566.867823,0,0,3,52,2,1,25049,1,1,67,14,7,0,1,1,5,1,2,454.245098,5,1
17,1,4964,1,3945.241604,0,0,1,49,2,1,28855,1,1,101,12,59,0,1,1,4,2,2,647.442031,3,1
18,1,7739,3,5710.333115,0,0,1,43,1,1,51148,2,1,72,9,1,0,7,1,4,1,1,308.981664,0,1
19,2,1895,1,8162.617053,0,2,3,2,1,0,66140,1,1,101,11,21,0,3,0,1,0,2,484.8,0,2
20,1,8914,3,2872.051273,0,0,3,34,1,1,57749,1,2,74,31,21,0,1,1,4,0,1,355.2,5,1
21,2,6589,4,3041.791561,0,1,0,10,0,0,13789,1,0,79,8,49,0,1,1,5,3,2,379.2,0,1
22,1,8532,0,24127.50402,1,0,0,15,2,1,14072,1,0,71,13,3,0,2,1,5,0,0,511.2,0,1
23,0,7000,2,2450.190996,0,0,0,40,4,0,0,1,2,73,4,44,3,1,0,2,0,1,554.376763,0,1
24,2,2626,1,2392.10789,0,0,0,50,0,0,17870,1,1,61,30,91,0,1,0,1,1,1,439.2,0,1
25,1,2010,3,5802.065978,0,0,1,18,1,1,97541,1,1,72,22,1,0,3,1,5,1,2,389.185006,0,0
26,0,7270,1,3946.372085,0,2,0,44,4,0,0,1,2,111,15,47,0,1,1,5,0,0,799.2,0,2
27,2,2643,4,5346.916576,0,1,4,26,0,0,10511,2,1,139,33,64,0,1,0,0,0,1,516.237951,3,1
28,2,2190,0,12902.56014,0,2,1,35,1,0,86584,1,2,111,33,54,2,2,1,5,0,2,532.8,0,0
29,2,1482,3,3235.360468,0,1,4,54,1,0,75690,1,1,80,17,44,1,1,1,5,1,1,384.0,0,2
30,1,6591,0,2454.58354,0,0,1,44,1,1,23158,1,1,63,4,6,1,1,1,4,3,2,322.294043,0,2
31,1,7160,2,18975.45611,0,1,3,11,1,1,65999,2,1,237,1,14,0,6,0,1,1,0,615.927769,2,1
32,0,5328,1,4715.321344,0,0,0,14,4,1,0,2,1,65,19,56,0,3,1,5,0,2,308.15089,0,1
33,1,166,4,5018.885233,0,0,0,6,1,1,54500,1,1,63,28,17,0,6,0,1,0,0,302.4,5,2
34,2,6447,3,4932.916345,0,0,0,28,1,0,37260,0,1,62,19,42,0,8,0,0,2,3,15.437681,0,1
35,2,8720,0,5744.229745,0,0,3,3,1,0,68987,2,1,71,11,40,0,6,1,3,0,1,204.475147,0,1
36,1,3827,1,13891.73567,0,2,0,55,1,1,42305,1,1,117,10,62,0,2,1,5,0,0,561.6,0,2
37,2,1188,3,7380.976717,0,1,4,52,1,0,65706,1,1,91,19,86,0,8,1,5,1,3,436.8,0,2
38,0,837,3,3090.034104,0,1,0,14,4,1,0,1,2,90,7,79,0,1,1,4,2,0,648.0,5,2
39,1,7732,0,2521.633095,0,0,3,54,1,1,53243,0,0,66,4,15,2,1,1,5,0,2,157.397849,0,1
40,0,5680,2,2652.061785,0,0,3,6,4,0,0,1,1,70,7,1,1,1,0,2,2,2,484.318536,5,1
41,2,4257,3,2771.045031,1,0,1,23,1,0,50071,0,2,71,3,32,0,1,0,2,1,0,18.918935,5,1
42,2,2955,1,3939.00637,1,1,0,17,1,0,60021,1,1,99,12,28,0,1,1,4,1,0,882.871945,0,2
43,1,6536,0,12231.87968,0,0,3,56,1,1,43244,1,1,103,15,16,0,2,1,4,3,0,494.4,4,1
44,1,1122,4,2443.665166,0,0,1,39,1,1,92834,1,1,61,15,56,0,1,2,7,1,2,292.8,0,0
45,2,2552,3,12819.10289,0,2,2,14,0,0,10105,0,1,172,5,4,3,3,1,4,0,1,0.517753,3,1
46,0,590,0,4468.510542,0,0,0,20,4,1,0,1,2,73,7,57,3,5,1,5,2,2,579.165954,0,1
47,2,8243,3,5514.344018,0,0,3,27,1,0,23218,1,2,71,7,10,0,4,1,4,3,0,447.79344,5,1
48,0,3708,1,3343.875326,0,1,0,54,4,0,0,1,1,92,11,77,0,1,0,1,1,2,529.624084,0,1
49,0,6402,0,2294.478927,0,0,3,6,4,0,0,1,1,62,11,56,0,1,1,4,3,1,313.023175,0,1
50,1,7771,3,36707.42639,0,0,1,5,1,1,24804,1,1,104,1,28,0,2,1,4,0,0,593.830288,3,2
51,2,5568,1,33473.34946,1,0,0,23,1,0,33190,1,0,106,18,95,0,2,0,0,0,3,508.8,3,1
52,2,5985,2,7983.431709,0,0,3,37,1,0,36014,0,1,69,4,40,3,2,2,6,3,1,173.956072,0,1
53,1,8325,4,4854.745666,0,0,0,31,1,1,29834,1,2,64,19,44,0,3,1,5,3,0,307.2,0,1
54,1,1997,1,4293.997319,0,2,0,5,0,1,16701,1,1,113,20,26,0,1,1,4,0,1,831.625979,0,2
55,2,6622,0,7164.395543,0,1,1,50,1,0,46623,1,0,91,1,53,0,3,0,2,2,2,436.8,0,2
56,1,180,1,7619.5158,0,0,1,28,1,1,64749,2,1,64,24,59,0,2,2,7,1,1,302.56519,0,1
57,0,2008,0,3958.002823,0,0,3,39,4,0,0,1,1,101,29,12,0,1,1,4,0,2,484.8,3,2
58,2,4369,3,4499.493252,0,1,3,17,0,0,16969,1,0,124,34,47,2,1,1,5,0,2,704.768111,3,1
59,2,7019,3,4059.567414,0,2,4,44,0,0,11621,1,0,108,4,98,0,1,1,3,0,0,518.4,0,1
60,1,718,0,4458.113369,1,0,0,27,3,1,17622,1,0,65,1,36,1,3,1,3,0,0,312.0,0,1
61,2,6220,1,8110.333139,0,2,0,11,2,0,11489,1,1,105,4,50,0,6,1,5,0,2,504.0,5,2
62,0,1823,3,3339.764873,0,1,0,3,4,1,0,1,2,94,20,53,0,1,1,5,0,0,863.327324,5,2
63,2,4766,1,24261.01777,0,0,3,16,1,0,66525,0,1,100,0,86,0,2,1,5,0,0,104.331355,3,1
64,0,7714,0,6613.973653,0,0,0,12,4,0,0,1,2,63,21,28,0,2,1,5,2,1,676.391482,0,0
