,clust,Customer ID,Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
0,2,6207,1,0,0,0,1,0,0,0.0,0,1,1,8,0,0,1,0,0,1,0,0,0,1,0,39.65,39.65,0.0,20,0.0,59.65
1,2,5305,1,0,1,1,8,5,1,48.85,1,1,2,17,0,1,0,0,0,0,0,1,0,1,1,80.65,633.3,0.0,0,390.8,1024.1
2,2,1129,1,0,0,0,18,4,1,11.33,1,1,2,52,0,0,0,0,1,1,1,1,0,1,0,95.45,1752.55,45.61,0,203.94,1910.88
3,1,3208,1,0,1,1,25,3,1,19.76,0,1,2,12,0,1,1,0,1,1,0,1,0,1,0,98.5,2514.5,13.43,0,494.00000000000006,2995.07
4,2,3419,1,0,1,1,37,3,1,6.33,1,1,2,14,0,0,0,0,0,0,0,1,0,1,0,76.5,2868.15,0.0,0,234.21,3102.36
5,2,3079,1,0,0,0,27,3,1,3.33,1,1,2,18,0,0,1,0,0,0,0,0,0,1,0,78.05,2135.5,0.0,10,89.91,2235.41
6,2,262,1,0,1,1,1,5,1,15.28,0,1,2,30,0,0,0,0,0,0,0,1,0,1,2,70.45,70.45,0.0,0,15.28,85.73
7,2,2406,1,0,1,6,58,2,0,0.0,0,1,1,24,0,1,1,0,0,1,0,1,0,1,0,45.3,2651.2,40.95,0,0.0,2610.25
8,2,1818,1,0,0,0,15,4,1,44.07,1,1,2,19,0,0,0,0,0,0,0,1,0,1,2,74.45,1145.7,0.0,0,661.05,1806.75
9,2,1398,1,0,0,0,7,5,1,26.95,0,1,2,18,1,0,0,0,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,681.2
10,2,54,1,0,0,0,11,4,1,11.59,0,1,2,29,0,1,0,0,1,1,0,0,0,1,0,95.0,1120.3,0.0,120,127.49,1367.79
11,2,7012,1,0,0,0,15,4,1,29.11,0,1,2,29,0,1,0,0,0,0,0,1,0,1,0,74.4,1074.3,0.0,0,436.65,1510.9499999999998
12,2,6700,1,0,1,1,1,5,0,0.0,0,1,1,12,0,1,0,0,1,0,0,1,0,0,0,40.2,40.2,0.0,0,0.0,40.2
13,2,5171,1,0,0,0,3,5,0,0.0,0,1,1,28,0,0,1,0,0,1,1,1,0,1,0,41.15,132.2,0.0,0,0.0,132.2
14,2,2523,1,0,0,0,13,4,1,32.68,1,1,0,11,0,1,1,0,1,1,0,0,0,1,0,106.9,1364.3,0.0,10,424.84,1799.1399999999999
15,2,3063,1,0,0,0,16,4,1,9.43,0,1,2,9,0,0,0,1,1,1,1,1,0,1,0,94.45,1511.2,0.0,0,150.88,1662.08
16,2,2436,1,0,0,0,8,0,1,1.78,0,1,2,7,0,1,0,0,0,0,0,1,0,1,0,74.5,606.55,0.0,0,14.24,620.79
17,2,5334,1,0,0,0,24,3,1,30.87,1,1,2,15,0,0,0,0,0,0,0,1,0,1,0,76.1,1712.7,0.0,0,740.88,2453.58
18,2,5757,1,0,0,0,4,5,1,31.61,1,1,2,2,0,0,0,0,1,1,0,1,0,1,0,95.45,396.1,0.0,0,126.44,522.54
19,2,163,1,0,1,2,32,3,1,47.34,1,1,2,10,0,0,0,0,0,0,0,1,0,1,0,74.9,2303.35,0.0,0,1514.88,3818.23
20,1,1961,1,0,1,1,24,3,1,16.1,0,1,0,12,0,0,1,0,1,1,1,1,0,1,0,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003
21,1,3542,1,0,0,0,54,2,1,12.08,1,1,1,5,1,1,0,1,1,1,1,1,1,0,0,82.45,4350.1,0.0,0,652.32,5002.42
22,2,4107,1,0,0,0,2,5,1,13.17,0,1,2,10,0,0,0,0,0,0,0,1,0,1,0,70.35,139.05,0.0,0,26.34,165.39000000000001
23,2,428,1,0,0,0,21,0,0,0.0,0,1,0,8,1,0,0,0,1,0,0,1,0,1,0,41.9,840.1,0.0,0,0.0,840.1
